Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,55.639999,56.200001,55.520000,56.040001,7.029647,551675
2007-01-04,56.000000,56.599998,55.720001,56.599998,7.099893,305400
2007-01-05,56.400002,56.400002,54.880001,54.919998,6.889155,632175
2007-01-08,55.119999,55.279999,54.240002,55.160000,6.919259,250425
2007-01-09,55.000000,55.400002,54.680000,55.040001,6.904208,282150
2007-01-10,55.080002,55.720001,55.000000,55.240002,6.929294,323800
2007-01-11,55.400002,55.720001,55.200001,55.560001,6.969436,604950
2007-01-12,55.560001,55.759998,54.799999,55.000000,6.899189,363450
2007-01-16,54.959999,55.520000,54.919998,55.240002,6.929294,374150
2007-01-17,55.240002,55.680000,55.119999,55.480000,6.959402,358250
2007-01-18,55.520000,55.599998,54.840000,54.880001,6.884136,276775
2007-01-19,54.959999,55.320000,54.639999,55.040001,6.904208,576275
2007-01-22,55.279999,55.759998,55.119999,55.320000,6.939330,464300
2007-01-23,55.439999,55.599998,55.240002,55.439999,6.954380,357000
2007-01-24,55.439999,55.480000,55.080002,55.400002,6.949364,290400
2007-01-25,55.279999,55.599998,54.639999,54.799999,6.874102,359250
2007-01-26,55.080002,55.240002,53.840000,54.279999,6.808873,661400
2007-01-29,54.400002,55.480000,54.400002,55.360001,6.944346,410575
2007-01-30,55.599998,56.000000,55.040001,55.439999,6.954380,354575
2007-01-31,55.400002,55.439999,54.799999,55.119999,6.914239,459000
2007-02-01,55.320000,55.599998,54.720001,54.759998,6.869084,453200
2007-02-02,54.759998,55.400002,54.599998,55.400002,6.949364,326700
2007-02-05,55.439999,55.880001,55.200001,55.279999,6.934311,269600
2007-02-06,55.400002,55.840000,55.000000,55.680000,6.984488,216225
2007-02-07,56.000000,57.000000,56.000000,56.560001,7.094874,597125
2007-02-08,55.959999,56.279999,55.480000,55.799999,6.999540,513150
2007-02-09,55.639999,56.000000,53.919998,54.599998,6.849010,789675
2007-02-12,54.240002,55.240002,54.160000,54.480000,6.833961,674700
2007-02-13,54.400002,55.680000,54.320000,55.400002,6.949364,415400
2007-02-14,55.240002,56.160000,55.000000,55.480000,6.959402,405550
2007-02-15,55.400002,56.599998,55.200001,55.919998,7.014592,427300
2007-02-16,56.000000,56.400002,55.400002,56.119999,7.039683,252250
2007-02-20,56.040001,56.360001,55.119999,55.200001,6.924276,403650
2007-02-21,55.000000,55.400002,54.360001,55.200001,6.924276,308400
