Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,34.939999,35.169998,34.790001,35.049999,26.037424,8164600
2011-01-04,35.000000,35.080002,34.400002,35.020000,26.015144,9891900
2011-01-05,34.860001,35.430000,34.799999,35.389999,26.290003,10946500
2011-01-06,35.299999,35.310001,34.849998,35.029999,26.022581,8680000
2011-01-07,35.000000,35.340000,34.810001,35.049999,26.037424,8220600
2011-01-10,34.950001,35.330002,34.950001,35.180000,26.134007,6579400
2011-01-11,35.240002,35.740002,35.139999,35.330002,26.245424,8869300
2011-01-12,35.439999,35.950001,34.720001,34.810001,25.859137,13151500
2011-01-13,34.770000,34.880001,34.459999,34.860001,25.896282,8165500
2011-01-14,34.880001,35.150002,34.630001,35.080002,26.059715,7016700
2011-01-18,34.889999,35.209999,34.889999,35.139999,26.104286,6310400
2011-01-19,34.939999,35.020000,34.209999,34.500000,25.720350,8813700
2011-01-20,34.500000,35.500000,34.500000,35.310001,26.324215,11020400
2011-01-21,35.529999,35.810001,35.290001,35.410000,26.398771,8628700
2011-01-24,35.320000,35.470001,34.950001,34.990002,26.085644,7058100
2011-01-25,35.020000,35.180000,34.779999,35.160000,26.212383,6791900
2011-01-26,35.189999,35.900002,35.139999,35.599998,26.540421,12063800
2011-01-27,35.580002,35.759998,35.380001,35.709999,26.622414,8293500
2011-01-28,35.779999,35.799999,34.680000,34.799999,25.943995,9347000
2011-01-31,33.740002,34.660000,33.619999,34.200001,25.496689,12032900
2011-02-01,34.189999,35.240002,34.009998,34.950001,26.055830,13108400
2011-02-02,34.900002,35.299999,34.369999,34.650002,25.832172,12729600
2011-02-03,33.419998,33.540001,32.290001,32.919998,24.542423,44349700
2011-02-04,33.040001,33.060001,32.270000,32.669998,24.356050,24230000
2011-02-07,32.630001,33.259998,32.549999,32.930000,24.549891,14279000
2011-02-08,33.009998,33.400002,32.950001,33.299999,24.825727,9865500
2011-02-09,33.279999,33.759998,33.000000,33.320000,24.840628,12781200
2011-02-10,33.250000,33.419998,32.820000,32.959999,24.572252,13208800
2011-02-11,32.790001,33.060001,32.360001,33.029999,24.624439,11284400
2011-02-14,32.889999,33.000000,32.680000,32.770000,24.430599,9032500
2011-02-15,32.590000,33.150002,32.419998,32.980000,24.587154,15813100
2011-02-16,32.939999,33.119999,32.410000,32.709999,24.385876,16244100
2011-02-17,32.689999,32.910000,32.419998,32.759998,24.423140,12102300
2011-02-18,32.840000,33.099998,32.730000,33.060001,24.646803,7496100
2011-02-22,32.480000,33.029999,32.430000,32.700001,24.378408,13551700
2011-02-23,32.529999,32.810001,32.099998,32.240002,24.035482,12870300
2011-02-24,32.139999,32.630001,32.080002,32.509998,24.236763,9454800
2011-02-25,32.509998,33.049999,32.400002,32.939999,24.557344,7388700
2011-02-28,32.849998,33.310001,32.849998,33.060001,24.646803,10834600
